DAS IST PHRASE!
"process selection"
We are sending from 31.220.0.202
There is no captcha!
Following query was issued to GS:
https://scholar.google.com/scholar?start=0&as_q=&as_epq=%22process%20selection%22&as_oq=&as_eq=&as_occt=title&as_sauthors=&as_publication=&as_ylo=1991&as_yhi=1995&as_vis=0&btnG=&hl=en&as_sdt=1%2C5
we have 10 articles of 111 total!
We will wait for 5 seconds...
There is no captcha!
20 0
we have 20 articles of 111 total!
We will wait for 2 seconds...
There is no captcha!
30 20
we have 30 articles of 111 total!
We will wait for 4 seconds...
There is no captcha!
40 30
we have 40 articles of 111 total!
We will wait for 5 seconds...
There is no captcha!
50 40
we have 50 articles of 111 total!
We will wait for 3 seconds...
There is no captcha!
60 50
we have 60 articles of 111 total!
We will wait for 3 seconds...
There is no captcha!
70 60
we have 70 articles of 111 total!
We will wait for 1 seconds...
There is no captcha!
80 70
we have 80 articles of 111 total!
We will wait for 3 seconds...
There is no captcha!
90 80
we have 90 articles of 111 total!
We will wait for 5 seconds...
There is no captcha!
100 90
we have 100 articles of 111 total!
We will wait for 5 seconds...
There is no captcha!
Probably only one missing!
title|author|url|year|num_citations|num_versions|cluster_id|url_pdf|url_citations|url_versions|url_citation|excerpt
EFFECT OF THERMAL SPRAY PROCESS SELECTION ON TRIBOLOGICAL PERFORMANCE OF WC–Co AND Al2O3–TiO2 COATINGS|Y Naerheim, C Coddet, P Droit - Surface engineering, 1995 - Taylor & Francis|https://scholar.google.com/https://www.tandfonline.com/doi/abs/10.1179/sur.1995.11.1.66|1995|24|5|16960312576510001862|None|https://scholar.google.com/scholar?cites=16960312576510001862&as_sdt=2005&sciodt=1,5&hl=en|https://scholar.google.com/scholar?cluster=16960312576510001862&hl=en&as_sdt=1,5&as_ylo=1991&as_yhi=1995|None|High velocity oxyfuel (HVOF), air plasma spraying (APS), and low pressure plasma spraying (LPPS) techniques were used to deposit WC–Co and APS was used to deposit A12O3–TiO2 coatings on ASTM 4130 steel in a study of the effect of process selection on the friction and …
Automatic process selection for load balancing|W Osser - 1992 - researchgate.net|https://scholar.google.com/https://www.researchgate.net/profile/Darrell_Long2/publication/2417682_Automatic_Process_Selection_for_Load_Balancing/links/0a85e53b43d9b32b93000000.pdf|1992|17|6|3418522285548136492|https://scholar.google.com/https://www.researchgate.net/profile/Darrell_Long2/publication/2417682_Automatic_Process_Selection_for_Load_Balancing/links/0a85e53b43d9b32b93000000.pdf|https://scholar.google.com/scholar?cites=3418522285548136492&as_sdt=2005&sciodt=1,5&hl=en|https://scholar.google.com/scholar?cluster=3418522285548136492&hl=en&as_sdt=1,5&as_ylo=1991&as_yhi=1995|None|Distributed operating systems give users access to multiple computational engines throughout the system network. Users of one workstation are not hindered by the CPU intensive applications run on a different workstation. However, when a large number of …
Creating the Basis for Process Selection in the Design Stage|J Haudrum - 1994 - polynet.dk|http://polynet.dk/lenau/janhaudrum_phd.pdf|1994|16|4|4879608023238297737|http://polynet.dk/lenau/janhaudrum_phd.pdf|https://scholar.google.com/scholar?cites=4879608023238297737&as_sdt=2005&sciodt=1,5&hl=en|https://scholar.google.com/scholar?cluster=4879608023238297737&hl=en&as_sdt=1,5&as_ylo=1991&as_yhi=1995|None|This thesis treats the problem of process selection in design. Through field studies and video tapings the ways in which designers select production methods today were studied. It was realised that designers often select production methods that are familiar to them, and that …
Process selection for potable reuse health effects studies|WC Lauer, SE Rogers, AM LaChance… - Journal‐American …, 1991 - Wiley Online Library|https://scholar.google.com/https://awwa.onlinelibrary.wiley.com/doi/abs/10.1002/j.1551-8833.1991.tb07249.x|1991|14|5|6167713272712768346|None|https://scholar.google.com/scholar?cites=6167713272712768346&as_sdt=2005&sciodt=1,5&hl=en|https://scholar.google.com/scholar?cluster=6167713272712768346&hl=en&as_sdt=1,5&as_ylo=1991&as_yhi=1995|None|Denver's direct potable water reuse demonstration project has spanned nearly two decades. Following more than 10 years of pilot study, a 44‐L/s (1‐mgd) treatment plant was constructed to further evaluate the most promising processes to convert unchlorinated …
Expansion of an intelligent decision support system for process selection and process design in polymer composites|B Moy, JK McDowell, T Lenz, J Sticklen… - INTERNATIONAL …, 1994 - researchgate.net|https://scholar.google.com/https://www.researchgate.net/profile/Jon_Sticklen/publication/265891714_Expansion_of_an_Intelligent_Decision_Support_System_for_Process_Selection_and_Process_Design_in_Polymer_Composites_EXPANSION_OF_AN_INTELLIGENT_DECISION_SUPPORT_SYSTEM_FOR_PROCESS_SELECTION_AND_PROCESS/links/54abd1290cf2ce2df66911dc.pdf|1994|14|3|6389891471028227540|https://scholar.google.com/https://www.researchgate.net/profile/Jon_Sticklen/publication/265891714_Expansion_of_an_Intelligent_Decision_Support_System_for_Process_Selection_and_Process_Design_in_Polymer_Composites_EXPANSION_OF_AN_INTELLIGENT_DECISION_SUPPORT_SYSTEM_FOR_PROCESS_SELECTION_AND_PROCESS/links/54abd1290cf2ce2df66911dc.pdf|https://scholar.google.com/scholar?cites=6389891471028227540&as_sdt=2005&sciodt=1,5&hl=en|https://scholar.google.com/scholar?cluster=6389891471028227540&hl=en&as_sdt=1,5&as_ylo=1991&as_yhi=1995|None|An integrated view of material, part, and process design in polymer composites enables effective design decisions to be made and to subsequently serve as the basis for the continued success of polymer composites. A knowledge-based system for composite …
An integrated approach to product design and process selection|D Chhajed, N Raman - BEBR faculty working paper; no. 92-0178, 1992 - ideals.illinois.edu|http://www.ideals.illinois.edu/bitstream/handle/2142/29904/integratedapproa92178chha.pdf?sequence=2|1992|10|2|7640046346412225295|None|https://scholar.google.com/scholar?cites=7640046346412225295&as_sdt=2005&sciodt=1,5&hl=en|https://scholar.google.com/scholar?cluster=7640046346412225295&hl=en&as_sdt=1,5&as_ylo=1991&as_yhi=1995|None|The conventional approach to new product designinvolves a sequential flow of decisions. At the first step, the marketing function determines the product profile by specifying the required product attributes based upon consumer research. Manufacturing is then expected to …
All ready with a manufacturing strategy but nowhere to go: linking strategy to process selection in manufacturing|HB JENSEN, BJ WESTCOTT - Production planning & Control, 1992 - Taylor & Francis|https://scholar.google.com/https://www.tandfonline.com/doi/abs/10.1080/09537289208919370|1992|14|2|14200285206317549540|None|https://scholar.google.com/scholar?cites=14200285206317549540&as_sdt=2005&sciodt=1,5&hl=en|https://scholar.google.com/scholar?cluster=14200285206317549540&hl=en&as_sdt=1,5&as_ylo=1991&as_yhi=1995|None|A company's need for long-term strategic planning and technical innovation in manufacturing is addressed. The contributions of a manufacturing strategy to the competitive advantage of a company has been well established, yet little work has been done on …
Simultaneous design for manufacturing process selection of engineering plastics|C Merhar, C Chong, K lshii - International Journal of …, 1994 - inderscienceonline.com|https://scholar.google.com/https://www.inderscienceonline.com/doi/abs/10.1504/IJMPT.1994.036410|1994|6|5|13545215945082903763|None|https://scholar.google.com/scholar?cites=13545215945082903763&as_sdt=2005&sciodt=1,5&hl=en|https://scholar.google.com/scholar?cluster=13545215945082903763&hl=en&as_sdt=1,5&as_ylo=1991&as_yhi=1995|None|This paper describes a methodology that helps designers select a manufacturing process for engineering plastics. For many advanced materials such as plastics, engineers must simultaneously select the material and its processing method while they develop the part …
A knowledge-based systems approach for manufacturing process selection in design|CH Lee - 1992 - etd.ohiolink.edu|https://scholar.google.com/https://etd.ohiolink.edu/!etd.send_file?accession=osu14877762107967&disposition=inline|1992|7|2|2327261837584648428|None|https://scholar.google.com/scholar?cites=2327261837584648428&as_sdt=2005&sciodt=1,5&hl=en|https://scholar.google.com/scholar?cluster=2327261837584648428&hl=en&as_sdt=1,5&as_ylo=1991&as_yhi=1995|None|It is commonly agreed that during conceptual or initial design, a large proportion of the ultimate m anufacturing cost of a product is committed. For example, Ford Motor Co. estimates that design's influence on product cost is about 70% although design cost …
Automatic tolerance allocation with process selection based on a hierarchical assembly model.|G Qu - 1994 - elibrary.ru|https://scholar.google.com/https://elibrary.ru/item.asp?id=5731675|1994|4|0|15654507404670103914|None|https://scholar.google.com/scholar?cites=15654507404670103914&as_sdt=2005&sciodt=1,5&hl=en|None|None|Degree: Ph. D. DegreeYear: 1993 Institute: University of Minnesota The selection of tolerances for assemblies is one of the most difficult problems and still remains unsolved in the area of Computer Aided Design. Research has been underway to use computers to …
Optimal product and manufacturing process selection: issues of formation and methods for parameter design|AS Alkhairy - 1992 - dspace.mit.edu|https://scholar.google.com/https://dspace.mit.edu/bitstream/handle/1721.1/4180/RLE-TR-572-26776811.pdf?sequence=1|1992|5|3|3837065039992528713|None|https://scholar.google.com/scholar?cites=3837065039992528713&as_sdt=2005&sciodt=1,5&hl=en|https://scholar.google.com/scholar?cluster=3837065039992528713&hl=en&as_sdt=1,5&as_ylo=1991&as_yhi=1995|None|Quality improvement at the stage of product and manufacturing process design has become a crucial component of quality engineering and management in today's environment of global competition. Quality design of products may be divided into three stages: concept …
A study on CAD interfaced CAPP system for turning operation (I): Automatic feature recognition and process selection|KK Cho, IH Kim - Journal of Korean Institute of Industrial …, 1991 - koreascience.or.kr|https://scholar.google.com/https://www.koreascience.or.kr/article/JAKO199129464080047.page|1991|4|2|11142351746508834239|None|https://scholar.google.com/scholar?cites=11142351746508834239&as_sdt=2005&sciodt=1,5&hl=en|https://scholar.google.com/scholar?cluster=11142351746508834239&hl=en&as_sdt=1,5&as_ylo=1991&as_yhi=1995|None|This paper deals with some critical activities of CAPP system such as generation of part description database, part feature recognition, process and operation selection, and sequencing method for turning operation of symmetric rotational parts. The part description …
Assessment of process selection for particle removal in surface water treatment|JG Janssens, A Buekens - Aqua (London), 1993 - pascal-francis.inist.fr|https://scholar.google.com/https://pascal-francis.inist.fr/vibad/index.php?action=getRecordDetail&idt=6373149|1993|52|2|3277606754353644082|None|https://scholar.google.com/scholar?cites=3277606754353644082&as_sdt=2005&sciodt=1,5&hl=en|https://scholar.google.com/scholar?cluster=3277606754353644082&hl=en&as_sdt=1,5&as_ylo=1991&as_yhi=1995|None|Sauf mention contraire ci-dessus, le contenu de cette notice bibliographique peut être utilisé dans le cadre d'une licence CC BY 4.0 Inist-CNRS/Unless otherwise stated above, the content of this bibliographic record may be used under a CC BY 4.0 licence by Inist-CNRS/A …
Polymer composite processing: factors influencing process selection|WJ Lee, JAE Månson - 1991 - sae.org|https://scholar.google.com/https://www.sae.org/gsdownload/?prodCd=910047|1991|2|3|8522493936564439183|None|https://scholar.google.com/scholar?cites=8522493936564439183&as_sdt=2005&sciodt=1,5&hl=en|https://scholar.google.com/scholar?cluster=8522493936564439183&hl=en&as_sdt=1,5&as_ylo=1991&as_yhi=1995|None|A variety of composite processes are described in terms of composite processing maps. Process selection depends on several factors, including required performance, material processability, process economy, complexity, and part size. Some of these factors are …
Selection of a manufacturing process with multiple attributes: A case study|OL Chau, C Parkan - Journal of Engineering and Technology Management, 1995 - Elsevier|https://scholar.google.com/https://www.sciencedirect.com/science/article/pii/0923474895000117|1995|35|2|9733006481267414447|None|https://scholar.google.com/scholar?cites=9733006481267414447&as_sdt=2005&sciodt=1,5&hl=en|https://scholar.google.com/scholar?cluster=9733006481267414447&hl=en&as_sdt=1,5&as_ylo=1991&as_yhi=1995|None|… For a given situation various methods may be attempted and the one that suits bestthe particular situation in question is chosen. In the next sections we discuss howthe process selection problem was approached at Motorola … 
A neural network approach for datum selection in computer-aided process planning|J Mei, HC Zhang, WJB Oldham - Computers in Industry, 1995 - Elsevier|https://scholar.google.com/https://www.sciencedirect.com/science/article/pii/016636159500006P|1995|42|7|10361556903130328000|None|https://scholar.google.com/scholar?cites=10361556903130328000&as_sdt=2005&sciodt=1,5&hl=en|https://scholar.google.com/scholar?cluster=10361556903130328000&hl=en&as_sdt=1,5&as_ylo=1991&as_yhi=1995|None|… A tolerance can be associated with a single feature or multiple fea- tures. When a tolerance isassociated with a feature, such as the tolerance for the diameter of a cylindrical feature, it canbe defined as a local tolerance which is usually taken care of by the process selection … 
Process selection for treatment of SOC contaminated waters|BI Dvorak, DF Lawler, GE Speitel Jr - 1994 - osti.gov|https://scholar.google.com/https://www.osti.gov/biblio/82802|1994|1|3|14763254663284977483|None|https://scholar.google.com/scholar?cites=14763254663284977483&as_sdt=2005&sciodt=1,5&hl=en|https://scholar.google.com/scholar?cluster=14763254663284977483&hl=en&as_sdt=1,5&as_ylo=1991&as_yhi=1995|None|The selection of the least-cost treatment option for treating synthetic organic chemical (SOC) contaminated wastewaters is often a complex endeavor. There are too many potential treatment processes and series-of-processes to perform a detailed evaluation of all …
On Comparing Apples and Oranges: The Judicial Clerk Selection Process and the Medical Matching Model|AE Clark - Geo LJ, 1994 - HeinOnline|https://scholar.google.com/https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/glj83&section=49|1994|30|3|18231028199268920993|None|https://scholar.google.com/scholar?cites=18231028199268920993&as_sdt=2005&sciodt=1,5&hl=en|https://scholar.google.com/scholar?cluster=18231028199268920993&hl=en&as_sdt=1,5&as_ylo=1991&as_yhi=1995|None|Page 1. On Comparing Apples and Oranges: The Judicial Clerk Selection Processand the Medical Matching Model ANNE'TE E. CLARK* In this article, Professor Clarkjoins the debate over whether the federal judiciary should … 
An Approach to FGD process selection|AV Howard - Institution of Chemical Engineers Symposium Series, 1995 - osti.gov|https://scholar.google.com/https://www.osti.gov/etdeweb/biblio/182574|1995|1|0|1643824585659367327|None|https://scholar.google.com/scholar?cites=1643824585659367327&as_sdt=2005&sciodt=1,5&hl=en|None|None|This paper describes an approach used to select candidate FGD processes for potential application on fossil fired power plant where future SO {sub 2} control is anticipated. This involves technical and commercial considerations, which must take account of local …
Frying process: selection of fats and quality control|MC Dobarganes, MC Pérez-Camino - International meeting on fats & oils technology …, 1991|None|1991|20|0|11925588319017906562|None|https://scholar.google.com/scholar?cites=11925588319017906562&as_sdt=2005&sciodt=1,5&hl=en|None|None|None
Materials and process selection Charts|MF Ashby - 1992 - Pergamon Press|None|1992|19|0|15271174447447108228|None|https://scholar.google.com/scholar?cites=15271174447447108228&as_sdt=2005&sciodt=1,5&hl=en|None|None|None
The process selection problem for hole making|D Ben-Arieh - Computers in industry, 1994 - Elsevier|https://scholar.google.com/https://www.sciencedirect.com/science/article/pii/0166361594900329|1994|1|5|2753413352373567012|None|https://scholar.google.com/scholar?cites=2753413352373567012&as_sdt=2005&sciodt=1,5&hl=en|https://scholar.google.com/scholar?cluster=2753413352373567012&hl=en&as_sdt=1,5&as_ylo=1991&as_yhi=1995|None|This paper addresses the topic of selecting a hole making process in a batch production based on an economic criterion. The procedure presented herein supports the process planning activity for hole making by producing time and cost estimates for each alternative …
Precipitation mechanism of ammonium uranate and relative process selection|D Dezhi, YNFE Plant - ATOMIC ENERGY SCIENCE AND TECHNOLOGY, 1995 - osti.gov|https://scholar.google.com/https://www.osti.gov/etdeweb/biblio/173088|1995|1|2|14153112893501583883|None|https://scholar.google.com/scholar?cites=14153112893501583883&as_sdt=2005&sciodt=1,5&hl=en|https://scholar.google.com/scholar?cluster=14153112893501583883&hl=en&as_sdt=1,5&as_ylo=1991&as_yhi=1995|None|The paper describes hydrolytic mechanism of uranyl ion, composition and structure of formed ammonium uranates. Investigations show that uranyl hydrolytic complexes as a main form of dinuclear complexes in solution with further hydrolyze to form sub-stable uranyl …
Hot-dip galvanizing: a guide to process selection and galvanizing practice|MJ Hornsby - 1995 - agris.fao.org|http://agris.fao.org/agris-search/search.do?recordID=XF2007430679|1995|13|0|7472572295308202524|None|https://scholar.google.com/scholar?cites=7472572295308202524&as_sdt=2005&sciodt=1,5&hl=en|None|None|… 2007. Extent : 69 p. Publisher : FAO/IT Pub. ISBN : 1-85339-190-5. All titles : " Hot-dip galvanizing:a guide to process selection and galvanizing practice " … Hot-dip galvanizing: a guide to processselection and galvanizing practice. Back. Written Paper. Hot-dip galvanizing: a guide to process …
Process selection and tolerance allocation for minimum cost assembly|MY Nagarwala, P Simin Pulat - ASME-PUBLICATIONS-PED, 1994 - ASME|None|1994|9|0|7607895848594020247|None|https://scholar.google.com/scholar?cites=7607895848594020247&as_sdt=2005&sciodt=1,5&hl=en|None|None|None
Critical process design issues in the selection of the TF/SC process for a large secondary treatment plant|D Parker, S Krugel… - Water Science and …, 1994 - search.proquest.com|http://search.proquest.com/openview/d5e548c5748d906e38470d245109a109/1?pq-origsite=gscholar&cbl=2044520|1994|8|5|16799926421343247915|None|https://scholar.google.com/scholar?cites=16799926421343247915&as_sdt=2005&sciodt=1,5&hl=en|https://scholar.google.com/scholar?cluster=16799926421343247915&hl=en&as_sdt=1,5&as_ylo=1991&as_yhi=1995|None|… This resulted in the detailed comparison of two suspended growth processes to a combinedbiofilm/suspended growth process. ISSUES CRITICAL TO PROCESS SELECTION Eachalternative was "built on paper" so as to permit a highly detailed basis of comparison … 
A process selection rule base for hole-making|B Khoshnevis, W Tan, DN Sormaz - available from the Factory Automation Systems …, 1993|None|1993|9|0|2248539653444857977|None|https://scholar.google.com/scholar?cites=2248539653444857977&as_sdt=2005&sciodt=1,5&hl=en|None|None|None
Process Selection for Sustainabel Wastewater Management in Industrializing Countries|J Parr, NJ Horan - 1994 - University of Leeds|None|1994|9|0|2882266563925282927|None|https://scholar.google.com/scholar?cites=2882266563925282927&as_sdt=2005&sciodt=1,5&hl=en|None|None|None
Process selection for concurrent engineering in the domain of rotational parts|JY Kim, R Mittal, P O'Grady, RE Young - Journal of Design and manufacturing, 1992|None|1992|8|0|8231509243728768648|None|https://scholar.google.com/scholar?cites=8231509243728768648&as_sdt=2005&sciodt=1,5&hl=en|None|None|None
A study on the determination of process selection factors in business reengineering|D Park - The Journal of Southern Seoul University, 1995|None|1995|8|0|16477175080632209123|None|https://scholar.google.com/scholar?cites=16477175080632209123&as_sdt=2005&sciodt=1,5&hl=en|None|None|None
Process selection|A Taylor - Nickel/Cobalt Laterites, 1995|None|1995|8|0|8774763178378687376|None|https://scholar.google.com/scholar?cites=8774763178378687376&as_sdt=2005&sciodt=1,5&hl=en|None|None|None
Materials and process selection|MF Ashby, CA Abel… - Proceedings of the …, 1993 - publications.eng.cam.ac.uk|http://publications.eng.cam.ac.uk/372823/|1993|5|0|4124417924615054777|None|https://scholar.google.com/scholar?cites=4124417924615054777&as_sdt=2005&sciodt=1,5&hl=en|None|None|Ashby, MF and Abel, CA and Edwards, KL (1993) Materials and process selection. In: The 9th International Conference on Engineering Design (ICED'93), -- to --, The Hague, The Netherlands … Full text not available from this repository … CUED Publications database …
Membrane Process Selection and the Use of Bench and Pilot Tests|RA Bergman, JC Lozier - Proc. 1993 AWWA Membrane Processes Conf …, 1993|None|1993|6|0|9241176133374069299|None|https://scholar.google.com/scholar?cites=9241176133374069299&as_sdt=2005&sciodt=1,5&hl=en|None|None|None
Systematic process selection in mechanical design|AMK Esawi - 1994 - ethos.bl.uk|https://scholar.google.com/https://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.260399|1994|6|2|3275510871940628420|None|https://scholar.google.com/scholar?cites=3275510871940628420&as_sdt=2005&sciodt=1,5&hl=en|https://scholar.google.com/scholar?cluster=3275510871940628420&hl=en&as_sdt=1,5&as_ylo=1991&as_yhi=1995|None|… Use this URL to cite or link to this record in EThOS: https://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.260399. Title: Systematic process selection in mechanical design. Author: Esawi, AmalMK, ISNI: 0000 0001 3449 0157. Awarding Body: University of Cambridge. Current Institution …
Process-partner selection in agile manufacturing using linguistic decision making|P Gupta, R Nagi - Trans. Design Manufact., 1995 - eng.buffalo.edu|http://www.eng.buffalo.edu/~nagi/papers/pgupta1.ps|1995|7|0|10394983929068203190|None|https://scholar.google.com/scholar?cites=10394983929068203190&as_sdt=2005&sciodt=1,5&hl=en|None|None|… Email: nagi@eng.bu alo.edu Page 2. Index Terms 1. Agile Manufacturing 2. Vendor Selection3. Process Selection 4. Multi Criteria Decision Making 5. Fuzzy Set Theory 6. LinguisticDecisions 7. Fuzzy Combinatorial Optimization Page 3. 1 Introduction … 
A meta-knowledge base for machine process selection|JJ Shah, DWC Hsiao - ASME Computers in Engineering Conference, 1991|None|1991|5|0|13358041134673538456|None|https://scholar.google.com/scholar?cites=13358041134673538456&as_sdt=2005&sciodt=1,5&hl=en|None|None|None
A process selection and component costing system in support of product design|AJ Allen, KG Swift, G Hird - Design for Manufacture, Proceedings of the Institution …, 1991|None|1991|5|0|3983042185073855758|None|https://scholar.google.com/scholar?cites=3983042185073855758&as_sdt=2005&sciodt=1,5&hl=en|None|None|None
